Nr,TID,PID,x [nm],y [nm],t [sec],I [val],Len [nm],D2S [nm],D2R [nm],D2P [nm],v [nm/sec],α [deg],Δα [deg]
74,8,4,47072.1,47177.88,18,394,1302.165,1278.145,NA,0,0,0,123.69
75,8,5,46860.54,47177.88,24,407,1513.725,1379.202,NA,211.56,35.26,180,180
76,8,6,46754.76,47072.1,30,381,1663.32,1525.581,NA,149.596,24.933,-135,45
77,8,7,46648.98,46966.32,36,395,1812.916,1672.529,NA,149.596,24.933,-135,0
78,8,8,46648.98,46648.98,42,392,2130.256,1941.863,NA,317.34,52.89,-90,45
79,8,9,46437.42,46120.08,48,294,2699.898,2507.678,NA,569.643,94.94,-111.801,-21.801
80,8,10,46543.2,46120.08,53,362,2805.678,2460.38,NA,105.78,21.156,0,111.801
81,9,1,59765.7,61881.3,0,340,0,0,NA,NA,NA,NA,NA
82,9,2,59659.92,62515.98,6,406,643.435,643.435,NA,643.435,107.239,99.462,NA
83,9,3,59342.58,63150.66,12,333,1353.028,1338.023,NA,709.594,118.266,116.565,17.103
84,9,4,59025.24,63891.12,18,382,2158.625,2141.882,NA,805.596,134.266,113.199,-3.366
85,9,5,58813.68,64631.58,24,402,2928.715,2910.392,NA,770.09,128.348,105.945,-7.253
86,9,6,58602.12,65583.6,30,394,3903.958,3880.843,NA,975.243,162.541,102.529,-3.417
87,9,7,58496.34,65795.16,36,375,4140.49,4114.556,NA,236.531,39.422,116.565,14.036
88,9,8,58496.34,66429.84,42,425,4775.17,4722.34,NA,634.68,105.78,90,-26.565
89,9,9,58179,66429.84,48,564,5092.51,4817.347,NA,317.34,52.89,180,90
90,9,10,58073.22,66641.4,53,514,5329.041,5052.033,NA,236.531,47.306,116.565,-63.435
91,10,1,58919.46,68968.56,0,352,0,0,NA,NA,NA,NA,NA
92,10,2,59342.58,68968.56,6,410,423.12,423.12,NA,423.12,70.52,0,NA
93,10,3,59659.92,69074.34,12,357,757.626,747.978,NA,334.506,55.751,18.435,18.435
94,10,4,59977.26,69074.34,18,348,1074.966,1063.076,NA,317.34,52.89,0,-18.435
95,10,5,60400.38,68968.56,24,404,1511.108,1480.92,NA,436.142,72.69,-14.036,-14.036
96,10,6,60294.6,68757,30,382,1747.639,1391.319,NA,236.531,39.422,-116.565,-102.529
97,10,7,60400.38,68862.78,36,426,1897.235,1484.693,NA,149.596,24.933,45,161.565
98,10,8,60823.5,69074.34,42,454,2370.297,1906.976,NA,473.063,78.844,26.565,-18.435
99,10,9,60506.16,68651.22,48,408,2899.197,1618.123,NA,528.9,88.15,-126.87,-153.435
100,10,10,60717.72,68757,53,458,3135.728,1810.662,NA,236.531,47.306,26.565,153.435
101,11,1,95096.22,70237.92,0,324,0,0,NA,NA,NA,NA,NA
102,11,2,95307.78,69920.58,6,366,381.395,381.395,NA,381.395,63.566,-56.31,NA
103,11,3,95836.68,69285.9,12,309,1207.563,1206.078,NA,826.168,137.695,-50.194,6.116
104,11,4,96259.8,68651.22,18,333,1970.354,1967.622,NA,762.79,127.132,-56.31,-6.116
105,11,5,96682.92,68333.88,24,347,2499.254,2478.505,NA,528.9,88.15,-36.87,19.44
106,11,6,97317.6,67593.42,30,379,3474.497,3453.681,NA,975.243,162.541,-49.399,-12.529
107,11,7,97529.16,66747.18,36,314,4346.781,4254.934,NA,872.284,145.381,-75.964,-26.565
108,11,8,97740.72,66324.06,42,312,4819.844,4723.524,NA,473.063,78.844,-63.435,12.529
109,11,9,98058.06,66218.28,48,222,5154.35,4992.995,NA,334.506,55.751,-18.435,45
110,11,10,98163.84,66218.28,53,275,5260.13,5056.461,NA,105.78,21.156,0,18.435
111,12,1,90018.78,8673.96,0,373,0,0,NA,NA,NA,NA,NA
112,12,2,90865.02,8039.28,6,233,1057.8,1057.8,NA,1057.8,176.3,-36.87,NA
113,12,3,91288.14,8462.4,12,223,1656.182,1286.869,NA,598.382,99.73,45,81.87
114,12,4,91182.36,8356.62,18,405,1805.778,1206.078,NA,149.596,24.933,-135,-180
115,12,5,91817.04,7933.5,24,276,2568.568,1944.742,NA,762.79,127.132,-33.69,101.31
116,12,6,92769.06,7404.6,30,229,3657.64,3029.078,NA,1089.072,181.512,-29.055,4.635
117,12,7,92874.84,7510.38,36,394,3807.235,3083.99,NA,149.596,24.933,45,74.055
118,12,8,93509.52,7616.16,42,382,4450.67,3647.493,NA,643.435,107.239,9.462,-35.538
119,12,9,94567.32,7404.6,48,345,5529.418,4722.34,NA,1078.749,179.791,-11.31,-20.772
120,12,10,94461.54,7510.38,53,271,5679.014,4592.607,NA,149.596,29.919,135,146.31
121,13,1,109693.86,4442.76,0,283,0,0,NA,NA,NA,NA,NA
122,13,2,109693.86,4654.32,6,247,211.56,211.56,NA,211.56,35.26,90,NA
123,13,3,109693.86,4654.32,12,267,211.56,211.56,NA,0,0,0,-90
124,13,4,109270.74,4760.1,18,332,647.702,528.9,NA,436.142,72.69,165.964,165.964
125,13,5,109588.08,4760.1,24,372,965.042,334.506,NA,317.34,52.89,0,-165.964
126,13,6,109693.86,4760.1,30,389,1070.822,317.34,NA,105.78,17.63,0,0
127,13,7,110222.76,5394.78,36,337,1896.99,1089.072,NA,826.168,137.695,50.194,50.194
128,13,8,110116.98,5606.34,42,334,2133.522,1238.123,NA,236.531,39.422,116.565,66.371
129,13,9,109905.42,5817.9,48,344,2432.713,1391.319,NA,299.191,49.865,135,18.435
130,13,10,109905.42,6029.46,53,343,2644.273,1600.742,NA,211.56,42.312,90,-45
131,14,1,59659.92,80181.24,0,232,0,0,NA,NA,NA,NA,NA
132,14,2,59554.14,80181.24,6,284,105.78,105.78,NA,105.78,17.63,180,NA
133,14,3,59448.36,80181.24,12,365,211.56,211.56,NA,105.78,17.63,180,0
134,14,4,59448.36,80392.8,18,366,423.12,299.191,NA,211.56,35.26,90,-90
135,14,5,59448.36,80181.24,24,379,634.68,211.56,NA,211.56,35.26,-90,-180
136,14,6,59659.92,80287.02,30,386,871.211,105.78,NA,236.531,39.422,26.565,116.565
137,14,7,59765.7,80287.02,36,398,976.991,149.596,NA,105.78,17.63,0,-26.565
138,14,8,60506.16,80392.8,42,259,1724.969,872.284,NA,747.978,124.663,8.13,8.13
139,14,9,60400.38,80287.02,48,331,1874.564,747.978,NA,149.596,24.933,-135,-143.13
140,14,10,60506.16,80287.02,53,281,1980.344,852.826,NA,105.78,21.156,0,135
141,15,1,66747.18,97317.6,0,323,0,0,NA,NA,NA,NA,NA
142,15,2,66429.84,97846.5,6,265,616.798,616.798,NA,616.798,102.8,120.964,NA
143,15,3,66218.28,98375.4,12,313,1186.441,1182.656,NA,569.643,94.94,111.801,-9.162
144,15,4,65900.94,98692.74,18,355,1635.227,1614.662,NA,448.787,74.798,135,23.199
145,15,5,65583.6,98798.52,24,354,1969.733,1883.359,NA,334.506,55.751,161.565,26.565
146,15,6,65160.48,99115.86,30,348,2498.633,2398.198,NA,528.9,88.15,143.13,-18.435
